,SMILES,NRotBonds,xyz
0,C1C2CCCCC12,0,"19

C  2.0889  -0.2624  -0.2700
C  0.9608  0.5355  -0.5549
C  0.1060  1.4363  0.2264
C  -1.3243  0.9076  0.0240
C  -1.4564  -0.5445  0.3187
C  -0.3077  -1.4053  -0.2161
C  0.9105  -0.7776  0.3043
H  2.5870  -0.8293  -1.0928
H  2.8859  0.1607  0.4002
H  0.5637  0.4547  -1.6129
H  0.1389  2.4800  -0.0642
H  0.2841  1.3783  1.3281
H  -2.0423  1.4536  0.6342
H  -1.5077  1.0382  -1.0832
H  -2.4290  -0.9156  0.0213
H  -1.3791  -0.6580  1.4414
H  -0.5166  -2.4340  0.1110
H  -0.3777  -1.3820  -1.3418
H  0.8150  -0.6359  1.4263"
1,C1=CC2=C(C=C1)C=CC=C2,0,"18

C  2.3965  -0.1280  -0.7519
C  1.2891  -0.9409  -0.8727
C  0.0819  -0.5700  -0.3294
C  -0.0870  0.6159  0.3555
C  1.0197  1.4315  0.4779
C  2.2336  1.0633  -0.0658
C  -1.3180  0.9655  0.8941
C  -2.3990  0.1013  0.7382
C  -2.2552  -1.0878  0.0588
C  -1.0166  -1.4020  -0.4629
H  3.3625  -0.3977  -1.1720
H  1.4239  -1.8685  -1.4091
H  0.9146  2.3606  1.0067
H  3.1277  1.6820  0.0115
H  -1.4314  1.9142  1.4358
H  -3.3629  0.3628  1.1534
H  -3.1116  -1.7681  -0.0623
H  -0.8680  -2.3341  -1.0057"
2,C1CC2(CCCCC2)C=C1,0,"26

C  -2.6235  0.3948  0.2368
C  -1.7131  -0.3610  -0.7474
C  -0.3910  -0.2125  -0.0308
C  0.5172  -1.2915  -0.4917
C  1.9658  -1.0701  -0.3121
C  2.2944  0.3036  0.2636
C  1.5444  1.2733  -0.6350
C  0.0927  1.1839  -0.2305
C  -0.7546  -0.3720  1.3887
C  -2.0148  -0.0310  1.5542
H  -3.6418  -0.0015  0.2152
H  -2.5502  1.4873  0.0902
H  -2.0600  -1.4089  -0.7418
H  -1.7280  0.1088  -1.7414
H  0.3143  -1.5340  -1.5560
H  0.2329  -2.2291  0.0699
H  2.5061  -1.1222  -1.2811
H  2.4390  -1.8718  0.3208
H  3.3861  0.4466  0.2126
H  1.9087  0.3108  1.2992
H  1.5957  0.9156  -1.6956
H  1.8760  2.3068  -0.5087
H  -0.4897  1.7087  -1.0156
H  -0.0146  1.8101  0.6887
H  -0.0802  -0.7169  2.1639
H  -2.6118  -0.0280  2.4838"
3,C1=CC2=CC=CC=CC2=C1,0,"18

C  -2.7264  0.3470  -0.0331
C  -1.7657  1.3316  -0.0233
C  -0.5112  0.8000  -0.0036
C  0.6848  1.4936  0.0107
C  1.9768  1.0279  0.0544
C  2.4100  -0.2869  -0.0084
C  1.6661  -1.4697  0.0029
C  0.2974  -1.6131  0.0170
C  -0.6963  -0.6653  -0.0006
C  -2.0557  -0.8569  -0.0191
H  -3.8208  0.4818  -0.0490
H  -1.9852  2.3939  -0.0304
H  0.6108  2.5686  -0.0162
H  2.7863  1.7672  0.1506
H  3.4798  -0.4417  -0.0768
H  2.2411  -2.3969  0.0002
H  -0.0545  -2.6346  0.0466
H  -2.5372  -1.8463  -0.0221"
4,C1=CC=CC=C1,0,"12

C  1.0038  -0.9757  -0.0055
C  1.3424  0.3723  -0.0325
C  0.3290  1.3083  -0.0262
C  -1.0059  0.9761  0.0055
C  -1.3409  -0.3735  0.0325
C  -0.3342  -1.3155  0.0264
H  1.8094  -1.6929  -0.0109
H  2.3630  0.6926  -0.0577
H  0.5707  2.3628  -0.0468
H  -1.8119  1.6963  0.0109
H  -2.3647  -0.6771  0.0576
H  -0.5607  -2.3738  0.0468"
5,C1CCC=CC1,0,"16

C  0.3804  -1.1789  0.4308
C  -0.8683  -0.8681  -0.3727
C  -1.3923  0.4619  0.1849
C  -0.3886  1.4872  -0.2119
C  0.8784  1.1623  -0.2592
C  1.4237  -0.1808  0.0575
H  0.7620  -2.1964  0.2214
H  0.1269  -1.1444  1.5226
H  -1.6241  -1.6569  -0.3181
H  -0.5376  -0.6683  -1.4237
H  -2.4001  0.6637  -0.1953
H  -1.3862  0.3090  1.3006
H  -0.7179  2.4904  -0.4570
H  1.5887  1.9234  -0.5501
H  2.0016  -0.5538  -0.8112
H  2.1533  -0.0503  0.8813"
6,C1CCCCC1,0,"18

C  -0.6071  1.2814  -0.0960
C  -1.4641  0.0579  0.0658
C  -0.7546  -1.1150  -0.6062
C  0.5517  -1.2890  0.1399
C  1.4678  -0.0887  -0.0479
C  0.7650  1.1266  0.5042
H  -0.4425  1.4036  -1.2065
H  -1.1250  2.1344  0.3524
H  -2.4228  0.2568  -0.4500
H  -1.5867  -0.2199  1.1250
H  -0.6157  -0.9611  -1.6836
H  -1.3503  -2.0207  -0.4364
H  1.0515  -2.2055  -0.1672
H  0.2760  -1.2763  1.2346
H  2.3582  -0.2896  0.6001
H  1.7636  0.0662  -1.0901
H  0.7816  1.1114  1.5949
H  1.3533  2.0276  0.1668"
8,C1C=CC=CC=C1,0,"15

C  -1.4897  -0.0014  -0.4333
C  -0.8421  1.2318  0.0696
C  0.4402  1.5242  0.2349
C  1.5527  0.6181  -0.0681
C  1.5831  -0.7271  -0.0536
C  0.3838  -1.5230  0.3034
C  -0.8849  -1.1995  0.1362
H  -2.5786  0.0556  -0.2133
H  -1.3432  0.0154  -1.5577
H  -1.5391  2.0527  0.3582
H  0.6958  2.5208  0.6248
H  2.4808  1.1142  -0.3406
H  2.4852  -1.2195  -0.3024
H  0.6319  -2.4899  0.7516
H  -1.5759  -1.9724  0.4903"
9,C1CCCCCCCCCCCCC1,0,"42

C  1.0748  2.3604  -0.0699
C  1.8968  1.3889  0.7830
C  2.9935  0.7392  0.0069
C  2.9264  -0.7833  0.1091
C  1.8806  -1.3662  -0.7948
C  1.1998  -2.5882  -0.1655
C  -0.0909  -2.2139  0.4911
C  -1.2997  -2.8458  -0.1560
C  -2.4810  -1.9158  0.1493
C  -2.3875  -0.7155  -0.7651
C  -2.4350  0.5939  0.0232
C  -1.7701  1.6444  -0.8261
C  -1.3860  2.8681  -0.0757
C  -0.1204  2.7470  0.7170
H  1.7710  3.2323  -0.2483
H  0.8941  1.9134  -1.0420
H  1.1791  0.6605  1.2195
H  2.2650  1.9919  1.6533
H  3.9765  1.0435  0.4552
H  2.9512  0.9737  -1.0802
H  3.9295  -1.1817  -0.2047
H  2.8141  -1.1114  1.1709
H  2.2860  -1.7019  -1.7636
H  1.1019  -0.5687  -0.9776
H  1.9144  -2.9435  0.6246
H  1.0988  -3.4121  -0.8970
H  -0.2106  -1.1152  0.3968
H  -0.1267  -2.4923  1.5779
H  -1.4832  -3.8225  0.2988
H  -1.2141  -2.9125  -1.2491
H  -3.3940  -2.4970  0.0291
H  -2.3113  -1.5525  1.1970
H  -3.2512  -0.7925  -1.4710
H  -1.4774  -0.7448  -1.4079
H  -3.4973  0.8523  0.1607
H  -1.9437  0.4598  0.9970
H  -0.9690  1.1609  -1.3918
H  -2.5404  1.9538  -1.5926
H  -1.3350  3.7723  -0.6996
H  -2.2087  3.0707  0.6726
H  -0.2973  2.0892  1.6124
H  0.0770  3.7611  1.1607"
10,C1CCSC1,0,"13

C  -0.8054  -0.5650  0.2944
C  0.4770  -0.7137  -0.4823
C  1.4823  0.2285  0.1246
S  0.4159  1.6739  0.5092
C  -1.2066  0.9042  0.1165
H  -0.6804  -0.7357  1.3620
H  -1.5592  -1.2023  -0.1871
H  0.3044  -0.4673  -1.5398
H  0.8164  -1.7475  -0.4210
H  2.1951  0.5117  -0.6824
H  1.9833  -0.1559  1.0135
H  -1.9743  1.1958  0.8320
H  -1.4484  1.0731  -0.9395"
